Key_poliflw,Alt_map,Type,CBS CODE,CBS NAAM,CBS PROVINCIE CODE,CBS PROVINCIE NAAM
Amsterdam,Amsterdam,Gemeente,GM0363,Amsterdam,PV27,Noord-Holland
Utrecht,Utrecht,Gemeente,GM0344,Utrecht,PV26,Utrecht
Groningen,Groningen,Gemeente,GM0014,Groningen,PV20,Groningen
Epe,Epe,Gemeente,GM0232,Epe,PV25,Gelderland
Haarlem,Haarlem,Gemeente,GM0392,Haarlem,PV27,Noord-Holland
Leiden,Leiden,Gemeente,GM0546,Leiden,PV28,Zuid-Holland
Rotterdam,Rotterdam,Gemeente,GM0599,Rotterdam,PV28,Zuid-Holland
Amersfoort,Amersfoort,Gemeente,GM0307,Amersfoort,PV26,Utrecht
Veenendaal,Veenendaal,Gemeente,GM0345,Veenendaal,PV26,Utrecht
Nijmegen,Nijmegen,Gemeente,GM0268,Nijmegen,PV25,Gelderland
Apeldoorn,Apeldoorn,Gemeente,GM0200,Apeldoorn,PV25,Gelderland
Den Haag,'s-Gravenhage,Gemeente,GM0518,'s-Gravenhage,PV28,Zuid-Holland
Maastricht,Maastricht,Gemeente,GM0935,Maastricht,PV31,Limburg
The Hague,'s-Gravenhage,Gemeente,GM0518,'s-Gravenhage,PV28,Zuid-Holland
Zwolle,Zwolle,Gemeente,GM0193,Zwolle,PV23,Overijssel
Gouda,Gouda,Gemeente,GM0513,Gouda,PV28,Zuid-Holland
Breda,Breda,Gemeente,GM0758,Breda,PV30,Noord-Brabant
Zoetermeer,Zoetermeer,Gemeente,GM0637,Zoetermeer,PV28,Zuid-Holland
Heerlen,Heerlen,Gemeente,GM0917,Heerlen,PV31,Limburg
Venlo,Venlo,Gemeente,GM0983,Venlo,PV31,Limburg
Arnhem,Arnhem,Gemeente,GM0202,Arnhem,PV25,Gelderland
Stichtse Vecht,Stichtse Vecht,Gemeente,GM1904,Stichtse Vecht,PV26,Utrecht
Tilburg,Tilburg,Gemeente,GM0855,Tilburg,PV30,Noord-Brabant
Delft,Delft,Gemeente,GM0503,Delft,PV28,Zuid-Holland
Zeist,Zeist,Gemeente,GM0355,Zeist,PV26,Utrecht
Eindhoven,Eindhoven,Gemeente,GM0772,Eindhoven,PV30,Noord-Brabant
Lelystad,Lelystad,Gemeente,GM0995,Lelystad,PV24,Flevoland
Ede,Ede,Gemeente,GM0228,Ede,PV25,Gelderland
Oss,Oss,Gemeente,GM0828,Oss,PV30,Noord-Brabant
Kampen,Kampen,Gemeente,GM0166,Kampen,PV23,Overijssel
Hilversum,Hilversum,Gemeente,GM0402,Hilversum,PV27,Noord-Holland
Roermond,Roermond,Gemeente,GM0957,Roermond,PV31,Limburg
Vlissingen,Vlissingen,Gemeente,GM0718,Vlissingen,PV29,Zeeland
Amsterdam Zuidoost,Amsterdam,Gemeente,GM0363,Amsterdam,PV27,Noord-Holland
Weert,Weert,Gemeente,GM0988,Weert,PV31,Limburg
Dordrecht,Dordrecht,Gemeente,GM0505,Dordrecht,PV28,Zuid-Holland
Assen,Assen,Gemeente,GM0106,Assen,PV22,Drenthe
Emmen,Emmen,Gemeente,GM0114,Emmen,PV22,Drenthe
Deventer,Deventer,Gemeente,GM0150,Deventer,PV23,Overijssel
Doetinchem,Doetinchem,Gemeente,GM0222,Doetinchem,PV25,Gelderland
Wijk bij Duurstede,Wijk bij Duurstede,Gemeente,GM0352,Wijk bij Duurstede,PV26,Utrecht
Rheden,Rheden,Gemeente,GM0275,Rheden,PV25,Gelderland
"'s-Gravenhage, Netherlands",'s-Gravenhage,Gemeente,GM0518,'s-Gravenhage,PV28,Zuid-Holland
VVD Amsterdam,Amsterdam,Gemeente,GM0363,Amsterdam,PV27,Noord-Holland
Haren,Haren,Gemeente,GM0017,Haren,PV20,Groningen
Hoogeveen,Hoogeveen,Gemeente,GM0118,Hoogeveen,PV22,Drenthe
Rijswijk,Rijswijk,Gemeente,GM0603,Rijswijk,PV28,Zuid-Holland
Vlaardingen,Vlaardingen,Gemeente,GM0622,Vlaardingen,PV28,Zuid-Holland
Nieuwegein,Nieuwegein,Gemeente,GM0356,Nieuwegein,PV26,Utrecht
Sittard-Geleen,Sittard-Geleen,Gemeente,GM1883,Sittard-Geleen,PV31,Limburg
Houten,Houten,Gemeente,GM0321,Houten,PV26,Utrecht
Boxtel,Boxtel,Gemeente,GM0757,Boxtel,PV30,Noord-Brabant
Westervoort,Westervoort,Gemeente,GM0293,Westervoort,PV25,Gelderland
Alphen aan den Rijn,Alphen aan den Rijn,Gemeente,GM0484,Alphen aan den Rijn,PV28,Zuid-Holland
Anna Paulowna,Hollands Kroon,Gemeente,GM1911,Hollands Kroon,PV27,Noord-Holland
Schiedam,Schiedam,Gemeente,GM0606,Schiedam,PV28,Zuid-Holland
Enschede,Enschede,Gemeente,GM0153,Enschede,PV23,Overijssel
Almere,Almere,Gemeente,GM0034,Almere,PV24,Flevoland
Almelo,Almelo,Gemeente,GM0141,Almelo,PV23,Overijssel
Oosterhout,Oosterhout,Gemeente,GM0826,Oosterhout,PV30,Noord-Brabant
Wageningen,Wageningen,Gemeente,GM0289,Wageningen,PV25,Gelderland
Utrechtse Heuvelrug,Utrechtse Heuvelrug,Gemeente,GM1581,Utrechtse Heuvelrug,PV26,Utrecht
Amstelveen,Amstelveen,Gemeente,GM0362,Amstelveen,PV27,Noord-Holland
Echt-Susteren,Echt-Susteren,Gemeente,GM1711,Echt-Susteren,PV31,Limburg
Lansingerland,Lansingerland,Gemeente,GM1621,Lansingerland,PV28,Zuid-Holland
Renkum,Renkum,Gemeente,GM0274,Renkum,PV25,Gelderland
Culemborg,Culemborg,Gemeente,GM0216,Culemborg,PV25,Gelderland
Zutphen,Zutphen,Gemeente,GM0301,Zutphen,PV25,Gelderland
Helmond,Helmond,Gemeente,GM0794,Helmond,PV30,Noord-Brabant
Gorinchem,Gorinchem,Gemeente,GM0512,Gorinchem,PV28,Zuid-Holland
Diemen,Diemen,Gemeente,GM0384,Diemen,PV27,Noord-Holland
Alkmaar,Alkmaar,Gemeente,GM0361,Alkmaar,PV27,Noord-Holland
Buren,Buren,Gemeente,GM0214,Buren,PV25,Gelderland
Goes,Goes,Gemeente,GM0664,Goes,PV29,Zeeland
Bunnik,Bunnik,Gemeente,GM0312,Bunnik,PV26,Utrecht
Tiel,Tiel,Gemeente,GM0281,Tiel,PV25,Gelderland
Castricum,Castricum,Gemeente,GM0383,Castricum,PV27,Noord-Holland
De Rotterdamse VVD,Rotterdam,Gemeente,GM0599,Rotterdam,PV28,Zuid-Holland
Roosendaal,Roosendaal,Gemeente,GM1674,Roosendaal,PV30,Noord-Brabant
Geldrop-Mierlo,Geldrop-Mierlo,Gemeente,GM1771,Geldrop-Mierlo,PV30,Noord-Brabant
Voorschoten,Voorschoten,Gemeente,GM0626,Voorschoten,PV28,Zuid-Holland
Horst aan de Maas,Horst aan de Maas,Gemeente,GM1507,Horst aan de Maas,PV31,Limburg
Wijchen,Wijchen,Gemeente,GM0296,Wijchen,PV25,Gelderland
Landgraaf,Landgraaf,Gemeente,GM0882,Landgraaf,PV31,Limburg
Middelburg,Middelburg,Gemeente,GM0687,Middelburg,PV29,Zeeland
Nissewaard,Nissewaard,Gemeente,GM1930,Nissewaard,PV28,Zuid-Holland
Steenwijkerland,Steenwijkerland,Gemeente,GM1708,Steenwijkerland,PV23,Overijssel
's-Hertogenbosch,'s-Hertogenbosch,Gemeente,GM0796,'s-Hertogenbosch,PV30,Noord-Brabant
Den Bosch,s-Hertogenbosch,Gemeente,null,null,null,null
Provincie Zuid-Holland,Zuid-Holland,Gemeente,null,null,null,null
IJsselstein,IJsselstein,Gemeente,GM0353,IJsselstein,PV26,Utrecht
Boxmeer,Boxmeer,Gemeente,GM0756,Boxmeer,PV30,Noord-Brabant
Coevorden,Coevorden,Gemeente,GM0109,Coevorden,PV22,Drenthe
Uden,Uden,Gemeente,GM0856,Uden,PV30,Noord-Brabant
Woerden,Woerden,Gemeente,GM0632,Woerden,PV26,Utrecht
Moerdijk,Moerdijk,Gemeente,GM1709,Moerdijk,PV30,Noord-Brabant
Maurik,Buren,Gemeente,GM0214,Buren,PV25,Gelderland
Velsen,Velsen,Gemeente,GM0453,Velsen,PV27,Noord-Holland
Gennep,Gennep,Gemeente,GM0907,Gennep,PV31,Limburg
Purmerend,Purmerend,Gemeente,GM0439,Purmerend,PV27,Noord-Holland
Zuidplas,Zuidplas,Gemeente,GM1892,Zuidplas,PV28,Zuid-Holland
Leeuwarden,Leeuwarden,Gemeente,GM0080,Leeuwarden,PV21,Friesland
Hengelo,Hengelo,Gemeente,GM0164,Hengelo,PV23,Overijssel
Pijnacker-Nootdorp,Pijnacker-Nootdorp,Gemeente,GM1926,Pijnacker-Nootdorp,PV28,Zuid-Holland
Doesburg,Doesburg,Gemeente,GM0221,Doesburg,PV25,Gelderland
Hardenberg,Hardenberg,Gemeente,GM0160,Hardenberg,PV23,Overijssel
Nunspeet,Nunspeet,Gemeente,GM0302,Nunspeet,PV25,Gelderland
Hoorn,Hoorn,Gemeente,GM0405,Hoorn,PV27,Noord-Holland
Edam-Volendam,Edam-Volendam,Gemeente,GM0385,Edam-Volendam,PV27,Noord-Holland
Waterland,Waterland,Gemeente,GM0852,Waterland,PV27,Noord-Holland
Heerhugowaard,Heerhugowaard,Gemeente,GM0398,Heerhugowaard,PV27,Noord-Holland
Sint-Michielsgestel,Sint-Michielsgestel,Gemeente,GM0845,Sint-Michielsgestel,PV30,Noord-Brabant
De Bilt,De Bilt,Gemeente,GM0310,De Bilt,PV26,Utrecht
Meierijstad,Meierijstad,Gemeente,GM1948,Meierijstad,PV30,Noord-Brabant
Amsterdam Oost,Amsterdam,Gemeente,GM0363,Amsterdam,PV27,Noord-Holland
Hattem,Hattem,Gemeente,GM0244,Hattem,PV25,Gelderland
Tynaarlo,Tynaarlo,Gemeente,GM1730,Tynaarlo,PV22,Drenthe
Langedijk,Langedijk,Gemeente,GM0416,Langedijk,PV27,Noord-Holland
Brielle,Brielle,Gemeente,GM0501,Brielle,PV28,Zuid-Holland
Hoofddorp,Haarlemmermeer,Gemeente,GM0394,Haarlemmermeer,PV27,Noord-Holland
Ommen,Ommen,Gemeente,GM0175,Ommen,PV23,Overijssel
Katwijk,Katwijk,Gemeente,GM0537,Katwijk,PV28,Zuid-Holland
Dongeradeel,Dongeradeel,Gemeente,GM0058,Dongeradeel,PV21,Friesland
Weesp,Weesp,Gemeente,GM0457,Weesp,PV27,Noord-Holland
Terneuzen,Terneuzen,Gemeente,GM0715,Terneuzen,PV29,Zeeland
Scherpenzeel,Scherpenzeel,Gemeente,GM0279,Scherpenzeel,PV25,Gelderland
Harderwijk,Harderwijk,Gemeente,GM0243,Harderwijk,PV25,Gelderland
Wognum,Medemblik,Gemeente,GM0420,Medemblik,PV27,Noord-Holland
Leidschendam-Voorburg,Leidschendam-Voorburg,Gemeente,GM1916,Leidschendam-Voorburg,PV28,Zuid-Holland
Tytsjerksteradiel,Tytsjerksteradiel,Gemeente,GM0737,Tytsjerksteradiel,PV21,Friesland
Stadskanaal,Stadskanaal,Gemeente,GM0037,Stadskanaal,PV20,Groningen
Bodegraven-Reeuwijk,Bodegraven-Reeuwijk,Gemeente,GM1901,Bodegraven-Reeuwijk,PV28,Zuid-Holland
Capelle aan den IJssel,Capelle aan den IJssel,Gemeente,GM0502,Capelle aan den IJssel,PV28,Zuid-Holland
Leiderdorp,Leiderdorp,Gemeente,GM0547,Leiderdorp,PV28,Zuid-Holland
Bernheze,Bernheze,Gemeente,GM1721,Bernheze,PV30,Noord-Brabant
Meppel,Meppel,Gemeente,GM0119,Meppel,PV22,Drenthe
Zevenaar,Zevenaar,Gemeente,GM0299,Zevenaar,PV25,Gelderland
Landsmeer,Landsmeer,Gemeente,GM0415,Landsmeer,PV27,Noord-Holland
Steenbergen,Steenbergen,Gemeente,GM0851,Steenbergen,PV30,Noord-Brabant
Den Helder,Den Helder,Gemeente,GM0400,Den Helder,PV27,Noord-Holland
Vught,Vught,Gemeente,GM0865,Vught,PV30,Noord-Brabant
Elburg,Elburg,Gemeente,GM0230,Elburg,PV25,Gelderland
Papendrecht,Papendrecht,Gemeente,GM0590,Papendrecht,PV28,Zuid-Holland
Heerenveen,Heerenveen,Gemeente,GM0074,Heerenveen,PV21,Friesland
Hollands Kroon,Hollands Kroon,Gemeente,GM1911,Hollands Kroon,PV27,Noord-Holland
Maassluis,Maassluis,Gemeente,GM0556,Maassluis,PV28,Zuid-Holland
Wormerland,Wormerland,Gemeente,GM0880,Wormerland,PV27,Noord-Holland
Midden-Drenthe,Midden-Drenthe,Gemeente,GM1731,Midden-Drenthe,PV22,Drenthe
Twello,Voorst,Gemeente,GM0285,Voorst,PV25,Gelderland
Westerwolde,Westerwolde,Gemeente,GM1950,Westerwolde,PV20,Groningen
Didam,Montferland,Gemeente,GM1955,Montferland,PV25,Gelderland
Zaltbommel,Zaltbommel,Gemeente,GM0297,Zaltbommel,PV25,Gelderland
Raalte,Raalte,Gemeente,GM0177,Raalte,PV23,Overijssel
Oldebroek,Oldebroek,Gemeente,GM0269,Oldebroek,PV25,Gelderland
Oldenzaal,Oldenzaal,Gemeente,GM0173,Oldenzaal,PV23,Overijssel
Cuijk,Cuijk,Gemeente,GM1684,Cuijk,PV30,Noord-Brabant
Barneveld,Barneveld,Gemeente,GM0203,Barneveld,PV25,Gelderland
Rijssen-Holten,Rijssen-Holten,Gemeente,GM1742,Rijssen-Holten,PV23,Overijssel
Zaanstad,Zaanstad,Gemeente,GM0479,Zaanstad,PV27,Noord-Holland
Aalten,Aalten,Gemeente,GM0197,Aalten,PV25,Gelderland
Berg en Dal,Berg en Dal,Gemeente,GM1945,Berg en Dal,PV25,Gelderland
Hof van Twente,Hof van Twente,Gemeente,GM1735,Hof van Twente,PV23,Overijssel
Hellendoorn,Hellendoorn,Gemeente,GM0163,Hellendoorn,PV23,Overijssel
Overbetuwe,Overbetuwe,Gemeente,GM1734,Overbetuwe,PV25,Gelderland
Winterswijk,Winterswijk,Gemeente,GM0294,Winterswijk,PV25,Gelderland
Westland,Westland,Gemeente,GM1783,Westland,PV28,Zuid-Holland
Bloemendaal,Bloemendaal,Gemeente,GM0377,Bloemendaal,PV27,Noord-Holland
Oegstgeest,Oegstgeest,Gemeente,GM0579,Oegstgeest,PV28,Zuid-Holland
De Wolden,De Wolden,Gemeente,GM1690,De Wolden,PV22,Drenthe
Aalsmeer,Aalsmeer,Gemeente,GM0358,Aalsmeer,PV27,Noord-Holland
Lingewaard,Lingewaard,Gemeente,GM1705,Lingewaard,PV25,Gelderland
Teylingen,Teylingen,Gemeente,GM1525,Teylingen,PV28,Zuid-Holland
Heusden,Heusden,Gemeente,GM0797,Heusden,PV30,Noord-Brabant
De Fryske Marren,De Fryske Marren,Gemeente,GM1940,De Fryske Marren,PV21,Friesland
Súdwest-Fryslân,Súdwest-Fryslân,Gemeente,GM1900,Súdwest-Fryslân,PV21,Friesland
Gorecht-Oost 157,Midden-Groningen,Gemeente,GM1952,Midden-Groningen,PV20,Groningen
Borger-Odoorn,Borger-Odoorn,Gemeente,GM1681,Borger-Odoorn,PV22,Drenthe
Mierlo,Geldrop-Mierlo,Gemeente,GM1771,Geldrop-Mierlo,PV30,Noord-Brabant
